artist,artist_id,popularity,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Queen,1dfeR4HaWDbWqFHLkxsg1d,73,A Night At The Opera (Deluxe Remastered Version),Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.0,0.243,0.228,143.883,354320,4
Queen,1dfeR4HaWDbWqFHLkxsg1d,73,The Game (Deluxe Remastered Version),Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.329,0.163,0.756,109.975,214653,4
Queen,1dfeR4HaWDbWqFHLkxsg1d,73,Jazz (Deluxe Remastered Version),Don't Stop Me Now - Remastered 2011,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,5,-5.277,1,0.16,0.000191,0.77,0.601,156.271,209413,4
Metallica,2ye2Wgw4gimLv2eAKyk1NB,6,Metallica,Nothing Else Matters,3ZFwuJwUpIl0GeXsvF1ELf,0.558,0.364,4,-11.258,0,0.0265,5.02e-06,0.0753,0.17,142.171,388733,3
Metallica,2ye2Wgw4gimLv2eAKyk1NB,0,Master Of Puppets,Master Of Puppets,6NwbeybX6TDtXlpXvnUOZC,0.538,0.872,4,-7.658,0,0.0361,0.573,0.0946,0.593,105.102,516293,4
Metallica,2ye2Wgw4gimLv2eAKyk1NB,0,Metallica,The Unforgiven,5SnOyuBtyzufoXBAKOdcxD,0.539,0.597,7,-9.581,1,0.0258,0.00552,0.134,0.251,139.444,387133,4
Queen,1dfeR4HaWDbWqFHLkxsg1d,68,The Game (Deluxe Remastered Version),Crazy Little Thing Called Love - Remastered 2011,35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0,-6.887,1,0.0423,4.43e-06,0.35,0.715,76.961,163373,4
Various Artists,7Ey4PD4MYsKc5I2dolUwbH,19,50 Classic Rock Favorites,Dream On,7mt6teY5zF4pz5wlWRU6w4,0.412,0.528,1,-6.613,1,0.0259,4.87e-05,0.332,0.174,79.96,265093,4
Various Artists,00tVTdpEhQQw1bqdu8RCx2,19,50 Classic Rock Favorites,(Don't Fear) The Reaper,44hcnuIIxBCt9DB9gmlfIg,0.37,0.933,0,-8.332,1,0.0583,0.00158,0.299,0.541,141.199,308613,4
Various Artists,34jw2BbxjoYalTp8cJFCPv,18,50 Classic Rock Favorites,Barracuda,0EWlngw9NepKJsCDDujBpB,0.512,0.923,4,-4.282,0,0.0612,0.0364,0.143,0.615,137.327,262973,4
Journey,0rvjqX7ttXeg3mTy8Xscbt,70,Escape (Bonus Track Version),Open Arms,2w4EpqGasrz9qdTwocx54t,0.405,0.21,2,-13.214,1,0.0279,0.0,0.139,0.174,100.577,202173,3
Coheed and Cambria,3utxjLheHaVEd9bPjQRsy8,66,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Welcome Home,42GP0xKtkolBnmqQRvSllO,0.442,0.951,11,-5.27,1,0.11,1.12e-06,0.0887,0.158,154.004,374973,4
Various Artists,26bcq2nyj5GB7uRr558iQg,76,Rocky IV,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.000311,0.0873,0.548,108.873,245640,4
Iron Maiden,6mdiAmATAx73kdxrNrnlao,0,The Number of the Beast (1998 Remastered Version),Run to the Hills - 1998 Remastered Version,7lVHF6SvOqlCCAVCxeQ3kh,0.225,0.951,0,-4.654,1,0.0924,0.000225,0.219,0.471,173.241,233947,4
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,20,Dr. Feelgood,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,0.359,0.981,7,-3.622,0,0.303,0.00236,0.284,0.271,178.98,282653,4
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,78,1984 (Remastered),Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,0.572,0.835,0,-6.219,1,0.0317,0.000377,0.0702,0.795,129.981,241600,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,72,Paranoid (Remaster),Paranoid - 2012 - Remaster,1Y373MqadDRtclJNdnUXVc,0.412,0.658,4,-12.051,0,0.0708,0.000774,0.176,0.454,163.071,168406,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,65,Paranoid (Remaster),War Pigs / Luke's Wall - 2012 - Remaster,2rd9ETlulTbz6BYZcdvIE1,0.332,0.623,9,-12.363,1,0.08,0.000895,0.278,0.413,183.097,474360,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,59,Master of Reality (2014 Remaster),Children of the Grave - 2014 Remaster,5clz8BOBulxx7q2yHxqOCk,0.318,0.65,6,-13.928,1,0.0375,0.132,0.0962,0.368,149.994,317206,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,46,Vol. 4 (2014 Remaster),Changes - 2013 Remaster,3b7wNR330iKhql9dEdbNci,0.29,0.215,0,-12.762,1,0.0327,1.66e-05,0.106,0.191,80.814,282497,3
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,53,Sabbath Bloody Sabbath (2014 Remaster),Sabbath Bloody Sabbath - 2014 Remaster,2bku1YWarHpKlxVC2FB9dH,0.359,0.625,1,-9.643,0,0.0351,7.7e-05,0.0674,0.524,137.764,346637,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,58,Master of Reality (2014 Remaster),Sweet Leaf - 2014 Remaster,2FZ0yrA5aPClG5ZPBlV7n4,0.362,0.6,2,-12.285,1,0.0463,0.0426,0.0814,0.658,148.462,304787,4
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,82,Meteora,Numb,2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0,0.639,0.243,110.018,185587,4
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,84,Hybrid Theory (Bonus Edition),In the End,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.0,0.209,0.4,105.143,216880,4
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,65,The Sickness (10th Anniversary Edition),Down with the Sickness,4ImIJRZNJhNQLLdUFSYJoS,0.649,0.896,10,-2.704,0,0.056,1.19e-05,0.102,0.924,90.009,278707,4
Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,75,Jailbreak (Deluxe Edition),The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,1,0.0461,0.000252,0.205,0.768,80.823,266720,4
The Killers,0C0XlULifJtAgn6ZNCW2eu,52,Hot Fuss,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.0,0.0953,0.232,148.017,222587,4
Jet,5ypxebeHEIXjMtJb17uJlI,75,Get Born,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.000582,0.152,0.537,105.046,213800,4
Papa Roach,4RddZ3iHvSpGV4dvATac9X,10,To Be Loved: The Best Of Papa Roach (Explicit Version),Last Resort,4V05j7HDUU2bZQwDOeIySh,0.56,0.892,4,-3.365,0,0.0644,0.000164,0.177,0.67,90.615,200480,4
Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,7,Bleed American (Deluxe Edition),The Middle,3mcG2NI5G5vhrQtRda1YnA,0.629,0.897,2,-3.401,1,0.0483,0.0,0.263,0.93,161.944,168253,4
Bush,78SHxLdtysAXgywQ4vE0Oa,0,Sixteen Stone (Remastered),Glycerine,0l9l90a1zB3wUObtwWbqHy,0.447,0.337,5,-11.402,1,0.0325,0.00124,0.0945,0.0827,114.422,266493,4
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,12,The Better Life - Deluxe Edition,Kryptonite,3bbUkaQYGQHkx1TJi7gPSL,0.547,0.87,11,-5.098,0,0.0286,3.48e-05,0.161,0.514,99.014,233827,4
Thirty Seconds To Mars,0RqtSIYZmd4fiBKVFqyIqD,62,A Beautiful Lie,The Kill (Bury Me),1p1nO35bbi4ZlQgjIA4oa4,0.179,0.912,4,-3.881,0,0.0791,0.000294,0.582,0.289,182.99,231533,3
Staind,5KDIH2gF0VpelTqyQS7udb,0,The Singles,It's Been Awhile,0d2YnyIPgmPQqNSzDg8s8Q,0.509,0.774,6,-4.054,1,0.0338,0.000549,0.143,0.0824,116.529,264707,4
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,83,Appetite For Destruction,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0996,0.116,0.629,125.116,354520,4
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,77,From Under The Cork Tree,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.0,0.122,0.574,162.011,229093,4
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,76,Ten,Even Flow,6QewNVIDKdSl8Y3ycuHIei,0.394,0.944,10,-6.506,0,0.0761,4.54e-06,0.298,0.265,105.338,292581,4
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,74,LIVING THINGS,BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9,-4.45,0,0.0534,0.0,0.0707,0.585,110.006,230253,4
Metallica,2ye2Wgw4gimLv2eAKyk1NB,0,Kill 'Em All,Seek & Destroy,1LDAh7QQnWvp3GJ9QDa1Pj,0.461,0.95,9,-6.189,1,0.179,0.0149,0.211,0.535,140.77,415400,4
Iron Maiden,6mdiAmATAx73kdxrNrnlao,0,Powerslave (1998 Remastered Edition),2 Minutes to Midnight - 1998 Remaster,6aYXSH9JZrD30Av2KlAOMY,0.459,0.953,4,-6.518,0,0.066,0.000305,0.141,0.517,95.074,359760,4
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,64,British Steel,Living After Midnight,0IXpUl1fn2QZcBavfuq0H4,0.61,0.824,4,-6.046,1,0.0534,1.75e-06,0.0606,0.819,134.992,210133,4
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,71,British Steel,Breaking the Law,2RaA6kIcvomt77qlIgGhCT,0.362,0.961,2,-5.664,1,0.0857,9.35e-06,0.159,0.491,164.019,153840,4
New Found Glory,4ghjRm4M2vChDfTUycx0Ce,0,From The Screen To Your Stereo Part II,Kiss Me,1WTbOb9bzd2Ym3xh0ZPzZ4,0.544,0.922,2,-3.222,1,0.0416,6.29e-05,0.291,0.589,111.987,175173,4
Shinedown,70BYFdaZbEKbeauJ670ysI,36,Bully,Bully,7hj2dEEcBL2gfra1Vq3ejh,0.519,0.969,6,-2.34,0,0.0662,0.0,0.111,0.48,77.011,242747,4
Evanescence,5nGIFgo0shDenQYSE0Sn7c,0,Fallen,Going Under,02CpTZfwje8XMYvtO08i25,0.373,0.86,11,-4.869,0,0.0533,2.77e-05,0.228,0.482,175.103,214947,4
Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,65,One-X,Time of Dying,7piw04hPQZ1OHZ9Fq9JOXR,0.306,0.873,0,-3.668,0,0.0567,0.0,0.52,0.452,198.387,186373,4
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,67,Van Halen (Remastered),Ain't Talkin' 'Bout Love - 2015 Remaster,6fybp4N6eW3bsFAvARxyVe,0.518,0.938,8,-5.964,0,0.0416,0.000305,0.288,0.71,139.138,227800,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,66,Paranoid (Remaster),Iron Man - 2012 - Remaster,3IOQZRcEkplCXg6LofKqE9,0.336,0.792,9,-10.875,1,0.084,0.00175,0.0437,0.427,155.587,355304,4
Evanescence,5nGIFgo0shDenQYSE0Sn7c,80,Fallen,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4,-3.188,0,0.0698,2.06e-06,0.242,0.296,94.612,235893,4
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,0,The Wrong Side Of Heaven And The Righteous Side Of Hell (Volume 1/Deluxe Edition),Wrong Side Of Heaven,7nErzYSlYWbf9oetHig5DZ,0.472,0.933,4,-4.602,0,0.0672,0.0,0.305,0.56,150.023,270973,4
Nirvana,6olE6TJLqED3rqDCT0FyPh,33,From The Muddy Banks Of The Wishkah (Live),"Smells Like Teen Spirit - Live In Del Mar, California/1991",6mpyO7bJaCrHzE0iQEtZiN,0.399,0.94,8,-6.488,1,0.138,0.00243,0.684,0.354,126.261,287067,4
Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,73,Ocean Avenue,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,2.83e-05,0.0947,0.786,173.734,198267,4
Good Charlotte,5aYyPjAsLj7UzANzdupwnS,73,The Young and The Hopeless,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1,-3.127,1,0.126,0.0,0.139,0.893,177.751,175093,4
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,71,Move Along,Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,0.465,0.954,10,-4.251,1,0.044,5.38e-06,0.573,0.458,143.85,193653,4
Green Day,7oPftvlwr6VrsViSDV7fJY,71,American Idiot,Holiday / Boulevard of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,0.29,0.827,8,-3.451,1,0.0362,2.55e-06,0.301,0.45,167.086,493400,4
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,73,Rio (Collector's Edition),Hungry Like the Wolf - 2009 Remaster,39lSeqnyjZJejRuaREfyLL,0.691,0.812,0,-7.772,1,0.0558,1.16e-06,0.299,0.685,127.568,220627,4
Twisted Sister,7b85ve82Sh36a3UAx74wut,74,Stay Hungry,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,0.502,0.924,4,-6.299,1,0.0503,0.0,0.162,0.922,149.186,219667,4
Twisted Sister,7b85ve82Sh36a3UAx74wut,73,Stay Hungry,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.0123,0.355,0.671,106.244,179760,4
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0,Greatest Hits,Welcome To The Jungle,0eFvoRSTTaR2q8bSWVjwfp,0.456,0.978,10,-4.869,0,0.112,0.499,0.313,0.327,123.411,271867,4
Scorpions,27T030eWyCQRmDyuvr1kxY,0,Bad For Good: The Very Best Of Scorpions,No One Like You,19Cr4LtXeXlboDSuuKRcaU,0.457,0.803,9,-5.008,0,0.0416,0.000106,0.2,0.753,118.157,236560,4
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0,Greatest Hits,Paradise City,5Fz2wrKAjhKpWeTwvE1Ct3,0.28,0.977,11,-5.488,1,0.127,0.0158,0.138,0.475,100.409,406200,4
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,0,Shout At the Devil,Too Young to Fall In Love,7k9PgUKTf2OdL6oB4fY2hp,0.488,0.8,7,-6.152,0,0.0337,0.033,0.0453,0.863,99.591,215533,4
Various Artists,0cc6vw3VN8YlIcvr1v7tBL,0,Rock Star,Wild Side,7qWTqZnakiNxgjKYqPZmuO,0.557,0.885,0,-5.475,1,0.0478,0.000793,0.517,0.508,115.132,274333,4
Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,0,Fever To Tell,Maps,4ZoP9qWd50v7D5dRQUnKrM,0.527,0.925,7,-5.942,1,0.0691,0.237,0.574,0.213,119.829,219760,4
blink-182,6FBDaR13swtiWwGhX1WQsP,0,Enema Of The State,All The Small Things,7yCPwWs66K8Ba5lFuU2bcx,0.439,0.891,0,-4.764,1,0.057,0.0,0.547,0.695,148.599,168000,4
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,45,Ultimate Collection,Heartbreaker,7Crfr7SSFmcxNXi64fKEaB,0.463,0.802,1,-2.184,1,0.078,1.94e-05,0.487,0.733,156.205,207333,4
All Time Low,46gyXjRIvN1NL1eCB8GBxo,0,"So Wrong, It's Right (Deluxe Version)","Dear Maria, Count Me In",3ZsexY07D4t4HRq7ogeSAS,0.465,0.896,2,-3.126,1,0.0795,0.0,0.206,0.569,181.014,182827,4
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,0,From Under The Cork Tree,"Dance, Dance",4QIAVbGpeb5RdAGW66kY2h,0.62,0.961,11,-3.198,0,0.154,0.0,0.0854,0.449,114.448,180267,4
Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO,0,Anthology,Smooth Criminal,2T3blUc9Jnui2a0ZhuNOag,0.653,0.966,9,-4.236,0,0.0598,0.0026,0.143,0.874,126.921,209267,4
Sum 41,0qT79UgT5tY4yudH9VfsdT,0,"All Killer, No Filler",In Too Deep,68pN2UQYhwQgPy7VrCFKuV,0.566,0.835,9,-5.885,1,0.0504,0.0,0.0581,0.749,116.041,207093,4
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,78,Infinity On High,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,0.459,0.891,10,-5.057,0,0.0623,0.0,0.106,0.588,154.837,203507,4
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,71,When The World Comes Down,Gives You Hell,6ihL9TjfRjadfEePzXXyVF,0.718,0.691,4,-6.44,1,0.0387,0.0,0.0627,0.552,100.008,213107,4
Soundgarden,5xUf6j4upBrXZPg6AI4MRK,0,Telephantasm,Black Hole Sun,1sBfyE1iF7RP3LTc0zUTdp,0.345,0.764,6,-6.924,1,0.0366,1.68e-05,0.181,0.154,105.71,317693,4
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0,Use Your Illusion II,Knockin' On Heaven's Door,32V8SrHZnYzZu7V47L2jgK,0.486,0.744,6,-7.176,1,0.0404,0.00298,0.112,0.362,132.446,336000,4
KISS,07XSN3sPlIlB2L2XNcTwJw,0,Double Platinum (Remastered Version),Detroit Rock City,7Dtukb9NLJs1i0lohMlIC5,0.546,0.91,5,-6.736,1,0.061,5.61e-05,0.263,0.458,90.58,215899,4
Sum 41,0qT79UgT5tY4yudH9VfsdT,45,Does This Look Infected?,Still Waiting,4rLKjYqJjLU0Odg52kGL2O,0.42,0.952,7,-4.93,1,0.257,5.72e-05,0.294,0.511,191.977,158733,4
Lit,5mgr0FFpvy267wKVAYg8qp,72,A Place In The Sun,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,0.494,0.946,4,-2.757,1,0.0637,0.0,0.398,0.741,103.408,169027,4
Green Day,7oPftvlwr6VrsViSDV7fJY,65,American Idiot (Deluxe),American Idiot,45zvStEMsXp8z45OQRhWFJ,0.381,0.984,1,-2.42,1,0.0638,6.91e-05,0.27,0.81,186.081,174320,4
Shinedown,70BYFdaZbEKbeauJ670ysI,68,The Sound of Madness,Second Chance,0CwYG1UnRmOx8Q1EzElCIL,0.46,0.796,0,-4.501,0,0.0333,0.0,0.106,0.182,100.011,222067,4
David Cook,4SQxI8xg6LcSWL3KuGVHLa,41,David Cook,Permanent,7bppBAD4NHqVqzXkrkZVxY,0.577,0.336,5,-7.263,1,0.0303,0.0,0.103,0.154,95.927,176520,4
David Cook,4SQxI8xg6LcSWL3KuGVHLa,51,David Cook,Come Back to Me,55r33uTqnLglVMHb1qeWOd,0.476,0.895,4,-4.857,1,0.0299,1.02e-06,0.127,0.632,108.087,248000,4
David Cook,4SQxI8xg6LcSWL3KuGVHLa,48,David Cook,Light On,7zmqbdEqmQWgU2wOoBPG83,0.446,0.834,9,-4.014,0,0.0341,0.0,0.114,0.363,132.034,228827,4
David Cook,4SQxI8xg6LcSWL3KuGVHLa,30,David Cook,Declaration,6sVaE2ZwzTNWhPBn3A0wFH,0.447,0.935,0,-3.854,0,0.042,0.0,0.233,0.342,133.064,193253,4
Europe,7Js6Lde8thlIHXggv2SCBz,33,The Final Countdown (Expanded Edition),Heart of Stone,7EIxbNh7juzxrcXA3pTsCL,0.641,0.911,9,-5.96,1,0.0419,0.0,0.082,0.681,112.213,227267,4
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,5,Shout At The Devil,Looks That Kill,5uRN4EmPA7BWs5f4xsIl0Z,0.485,0.945,0,-5.954,1,0.0402,0.00525,0.0997,0.731,135.957,249013,4
Green Day,7oPftvlwr6VrsViSDV7fJY,80,Dookie,Basket Case,6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,8.71e-06,0.091,0.781,85.064,181533,4
Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,0,Bleed American,Sweetness,18IqyOGs1pRNZfbMo93r57,0.491,0.888,5,-4.412,1,0.038,0.0,0.286,0.656,135.253,220027,4
The Killers,0C0XlULifJtAgn6ZNCW2eu,42,Hot Fuss,Somebody Told Me,7HGTkn2aX7MNdKs7nV2xBt,0.509,0.987,10,-3.198,0,0.0886,0.000928,0.119,0.647,138.039,197160,4
The Killers,0C0XlULifJtAgn6ZNCW2eu,76,Sam's Town,When You Were Young,70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,1,0.112,0.0484,0.28,0.321,130.433,220427,4
Amon Amarth,3pulcT2wt7FEG10lQlqDJL,57,Twilight Of The Thunder God,Guardians Of Asgaard,2DR9AzDhYeStkHupvU08FC,0.529,0.953,9,-4.562,1,0.0594,0.000487,0.146,0.279,134.968,263160,4
Amon Amarth,3pulcT2wt7FEG10lQlqDJL,57,Fate of Norns,The Pursuit Of Vikings,0sObxZUKqdPfgjG9ahSlP5,0.506,0.967,6,-2.973,1,0.0451,0.41,0.167,0.488,129.704,270253,4
Amon Amarth,3pulcT2wt7FEG10lQlqDJL,51,Jomsviking,Raise Your Horns,6ypKaenmVXMCXvlkfYOpjf,0.458,0.873,5,-5.336,1,0.0439,0.737,0.0664,0.551,164.984,263760,3
